,True ID,Id,industry,name,market_cap,stock,country,founded_year,ceo,web_page
45,14,162443,,T & B ENGINEERING LIMITED,,,,,,https://find-and-update.company-information.service.gov.uk/company/05139824
46,15,79537,,'Q' ACCOUNTANCY SERVICES LIMITED,,,,,,
47,15,84597,,'Q' ACCOUNTANCY SERVICES LIMITED,,,,,,
48,1111111215,162525,,G ACCOUNTANCY SERVICES LIMITED,,,,,,https://find-and-update.company-information.service.gov.uk/company/10254862
49,16,5160,Retailing,Distribuidora Internacional de Alimentacion SA,$877.3M,,Spain,,,www.dia.es
50,16,115244,,"Distribuidora Internacional de Alimentación, SA",€897.5 Million,,,,Not found,
51,17,9318,,e-mart,,,south korea,,,
52,17,20819,"['Consumer Defensive', 'Retail', 'Hypermarkets']",E-MART,,,South Korea,,Not found,
53,17,46861,"['Consumer Defensive', 'Retail', 'Hypermarkets']",E-mart,,,South Korea,,,http://www.emartcompany.com/en/main.do
54,17,60522,,E-MART,,,South Korea,,,
55,17,60523,,E-MART,4.302 Billion USD,,South Korea,,,
56,17,87655,"['Consumer Defensive', 'Retail', 'Hypermarkets']",E-MART,,,,,,
57,17,164627,Supermarket,E-Mart,,,,,,
58,17,168862,,E-mart,$3.08 B,,South Korea,,,
59,17,190157,Retailing,E-mart,,,"Seoul, South Korea",1993.0,,
60,18,13647,Retailing,Shanghai Yuyuan Tourist Mart,,,China,,Zhen Huang,
61,18,13648,,Shanghai Yuyuan Tourist Mart,$5.8 B,,China,,,
62,18,111802,,Shanghai Yuyuan Tourist Mart ,CN¥39.59 Billion,,,,Not found,
63,19,72218,,V-MART RETAIL,,,India,,,
64,19,72219,,V-MART RETAIL,0.922 Billion USD,,India,,,
65,19,126725,Retail,V-Mart,,,,2002 (21 yrs old),,
66,20,19585,"['Communication Services', 'Telecom', 'Internet Providers']",1&1 AG,,,Germany,,Not found,
67,20,31588,,1&1,$2.43 B,,Germany,,,
68,20,58458,,1&1 AG,,,Germany,,,
69,20,58459,,1&1 AG,5.510 Billion USD,,Germany,,,
70,20,77645,,1&1,$2.43 B,,Germany,,,
71,20,86710,"['Communication Services', 'Telecom', 'Internet Providers']",1&1 AG,,,,,,
72,20,95794,,1&1,,,Germany,,,
73,20,115538,,1&1 AG,€3.59 Billion,,,,Mr. Ralph  Dommermuth,
74,20,141860,,1&1,$2.24 B,1U1.DE,Germany,,,
75,20,147893,"['Telecommunication', 'Internet']",1&1,$2.32 B,1U1.DE,Germany,,,
76,20,157377,,1&1,$2.35 B,1U1.DE,Germany,,,
77,20,171769,,1&1,$2.37 B,1U1.DE,,,,https://companiesmarketcap.com/1-1-drillisch/marketcap/
78,20,181157,,1&1,$2.41 B,,germany,,,
79,21,13714,Retailing,Group 1 Automotive,,,United States,,Earl Julius Hesterberg,
80,21,13715,,Group 1 Automotive,$2.86 B,,United States,,,
81,21,20790,"['Consumer Cyclical', 'Automobile', 'Automobile Parts', 'Consumer Durables', 'Automobile Dealers']",GROUP 1 AUTOMOTIVE,,,USA,,Not found,
82,21,31333,,Group 1 Automotive,$2.87 B,,USA,,,
83,21,46855,"['Consumer Cyclical', 'Automobile', 'Automobile Parts', 'Consumer Durables', 'Automobile Dealers']",Group 1 Automotive,,,USA,,,https://www.group1auto.com
84,21,60494,,GROUP 1 AUTOMOTIVE,,,USA,,,
85,21,60495,,GROUP 1 AUTOMOTIVE,2.990 Billion USD,,USA,,,
86,21,77850,,Group 1 Automotive,$2.87 B,,USA,,,
87,21,87642,"['Consumer Cyclical', 'Automobile', 'Automobile Parts']",GROUP 1 AUTOMOTIVE,,,,,,
88,21,95522,,Group 1 Automotive,,,USA,,,
89,21,141551,,Group 1 Automotive,$2.77 B,GPI,USA,,,
90,21,151710,[],Group 1 Automotive,$2.75 B,GPI,USA,,,
91,21,157107,,Group 1 Automotive,$2.80 B,GPI,USA,,,
92,21,174549,,Group 1 Automotive,$2.84 B,GPI,,,,https://companiesmarketcap.com/group-1-automotive/marketcap/
93,21,176506,,Group 1 Automotive,$2.83 B,,usa,,,
94,22,31654,,ProSiebenSat.1 Media,$2.32 B,,Germany,,,
95,22,35593,Consumer services,ProSiebenSat.1,,,,2000,,
96,22,77579,,Prosiebensat.1 Media,$2.32 B,,Germany,,,
97,22,95874,,ProSiebenSat.1 Media,,,Germany,,,
98,22,142099,,ProSiebenSat.1 Media,$1.85 B,PSM.F,Germany,,,
99,22,151300,"['MediaPress', 'Entertainment']",ProSiebenSat.1 Media,$1.91 B,PSM.F,Germany,,,
100,22,157441,,ProSiebenSat.1 Media,$2.24 B,PSM.F,Germany,,,
101,22,171738,,ProSiebenSat.1 Media,$2.28 B,PSM.F,,,,https://companiesmarketcap.com/prosiebensat1-media/marketcap/
102,22,181121,,ProSiebenSat.1 Media,$2.34 B,,germany,,,
103,23,2911,Technology and Communications,S-1 Corp,$1.8B,,South Korea,,,www.s1.co.kr
104,23,23026,"['Industries', 'Security Systems and Solutions']",S-1 CORPORATION,,,South Korea,,Not found,
105,23,64192,,S-1 CORPORATION,,,South Korea,,,
106,23,64193,,S-1 CORPORATION,2.373 Billion USD,,South Korea,,,
107,23,89305,"['Industries', 'Security Systems and Solutions']",S-1 CORPORATION,,,,,,
108,24,3085,Retailing,1-800-Flowers.com Inc,$600.4M,,United States of America,,,www.1800flowers.com
109,24,24289,"['Consumer Cyclical', 'Retail']",1-800-FLOWERS.COM,,,USA,,Not found,
110,24,66371,,1-800-FLOWERS.COM,,,USA,,,
111,24,66372,,1-800-FLOWERS.COM,2.067 Billion USD,,USA,,,
112,24,90238,"['Consumer Cyclical', 'Retail']",1-800-FLOWERS.COM,,,,,,
113,25,16316,"['Technology', 'Gaming', 'Software and IT', 'Video Games / Mobile Games / Tech Games / Casino Games', 'Software Products']",EPIC Games,,,USA,,Not found,
114,25,37530,Other,Epic Games,,,United States,,,
115,25,42167,,EPIC Games,,,USA,,,
116,25,42168,,EPIC Games,934,,USA,,,
117,25,42169,"['Technology', 'Gaming', 'Software and IT']",EPIC Games,,,,,,
118,25,43229,"['Technology', 'Gaming', 'Software and IT', 'Video Games / Mobile Games / Tech Games / Casino Games', 'Software Products']",Epic Games,,,USA,,,https://www.epicgames.com/
119,25,100622,Other,Epic Games,,,United States,1991,,
120,25,108246,,"EPIC GAMES, INC.",,,UNITED STATES,,,https://www.info-clipper.com/en/company/united-states/epic-games-inc.usddamc3s.html
121,25,110239,,"EPIC GAMES, INC.",,,UNITED STATES,,,https://www.info-clipper.com/en/company/united-states/epic-games-inc.usddamc3s.html
122,26,36694,Telecommunications,Epic,,,,1989,,
123,26,81213,,EPIC MUSHROOM LTD,,,,,,
124,26,184698,Telecommunications,Epic,,,Luqa,1989,,
125,27,16911,"['Healthcare', 'Medical Equipment', 'Healthcare Technology and Information']",10X GENOMICS,,,USA,,"John R. Stuelpnagel, D.V.M",
126,27,30368,,10x Genomics,$5.41 B,,USA,,,
127,27,43717,"['Healthcare', 'Medical Equipment', 'Healthcare Technology and Information']",10x Genomics,,,USA,,Serge Saxonov,https://www.10xgenomics.com/
128,27,54167,,10X GENOMICS,,,USA,,Serge Saxonov,
129,27,54168,,10X GENOMICS,19.507 Billion USD,,USA,,"John R. Stuelpnagel, D.V.M",
130,27,54169,"['Healthcare', 'Medical Equipment', 'Healthcare Technology and Information']",10X GENOMICS,,,,,Serge Saxonov,
131,27,73720,,10x Genomics,$5.41 B,,USA,,,
132,27,94814,,10x Genomics,,,USA,,,
133,27,140982,,10x Genomics,$4.00 B,TXG,USA,,,
134,27,147637,"['Genomics', 'Biotech']",10x Genomics,$3.92 B,TXG,USA,,,
135,27,156245,,10x Genomics,$4.94 B,TXG,USA,,,
136,27,169532,,10x Genomics,$4.94 B,TXG,,,,https://companiesmarketcap.com/10x-genomics/marketcap/
137,27,177574,,10x Genomics,$5.16 B,,usa,,,
138,28,1565,Medical Equipment,BGI Genomics Co Ltd,$3.3B,,China,,,www.bgi.com
139,28,111601,,BGI Genomics Co. Ltd,CN¥32.74 Billion,,,,Not found,
140,29,33951,,11 bit studios,$0.31 B,,Poland,,,
141,29,36810,Technology,11 bit studios,,,,2010,,
142,29,75668,,11 Bit Studios,$0.31 B,,Poland,,,
143,29,98010,,11 bit studios,,,Poland,,,
144,29,104054,Games industry,11 bit studios,,,Poland,,,
145,29,115667,,11 bit studios SA,€287.2 Million,,,,Not found,
146,29,144096,,11 bit studios,$0.29 B,11B.WA,Poland,,,
147,29,149616,"['Videogames', 'Entertainment', 'Tech']",11 bit studios,$0.28 B,11B.WA,Poland,,,
148,29,159621,,11 bit studios,$0.31 B,11B.WA,Poland,,,
149,29,182563,,11 bit studios,$0.31 B,,poland,,,
150,29,184483,Technology,11 bit studios,,,Warsaw,2010,,
151,30,26094,"['Healthcare', 'Biotechnology', 'Biopharmaceutical']",ANAVEX LIFE SCIENCES,,,USA,,Not found,
152,30,33025,,Anavex Life Sciences,$0.80 B,,USA,,,
153,30,51458,"['Healthcare', 'Biotechnology', 'Biopharmaceutical']",Anavex Life Sciences,,,USA,,,https://www.anavex.com/
154,30,69511,,ANAVEX LIFE SCIENCES,,,USA,,,
155,30,69512,,ANAVEX LIFE SCIENCES,1.476 Billion USD,,USA,,,
156,30,76443,,Anavex Life Sciences,$0.80 B,,USA,,,
157,30,91588,"['Healthcare', 'Biotechnology', 'Biopharmaceutical']",ANAVEX LIFE SCIENCES,,,,,,
158,30,97160,,Anavex Life Sciences,,,USA,,,
159,30,143335,,Anavex Life Sciences,$0.68 B,AVXL,USA,,,
160,30,150201,"['Pharmaceuticals', 'Biotech', 'Genomics']",Anavex Life Sciences,$0.66 B,AVXL,USA,,,
161,30,158730,,Anavex Life Sciences,$0.82 B,AVXL,USA,,,
162,30,170994,,Anavex Life Sciences,$0.82 B,AVXL,,,,https://companiesmarketcap.com/anavex-life-sciences/marketcap/
163,30,179994,,Anavex Life Sciences,$0.83 B,,usa,,,
164,31,26874,"['Healthcare', 'Biotechnology', 'Biopharmaceutical']",ATAI LIFE SCIENCES N.V.,,,Germany,,Not found,
165,31,33944,,Atai Life Sciences,$0.31 B,,Germany,,,
166,31,70867,,ATAI LIFE SCIENCES N.V.,,,Germany,,,
167,31,70868,,ATAI LIFE SCIENCES N.V.,2.536 Billion USD,,Germany,,,
168,31,75675,,Atai Life Sciences,$0.31 B,,Germany,,,
169,31,92168,"['Healthcare', 'Biotechnology', 'Biopharmaceutical']",ATAI LIFE SCIENCES N.V.,,,,,,
170,31,98064,,Atai Life Sciences,,,Germany,,,
171,31,143643,,Atai Life Sciences,$0.51 B,ATAI,Germany,,,
172,31,150027,"['Pharmaceuticals', 'Biotech']",Atai Life Sciences,$0.52 B,ATAI,Germany,,,
173,31,159669,,Atai Life Sciences,$0.29 B,ATAI,Germany,,,
174,31,171820,,Atai Life Sciences,$0.29 B,ATAI,,,,https://companiesmarketcap.com/atai-life-sciences/marketcap/
175,31,182735,,Atai Life Sciences,$0.33 B,,germany,,,
176,32,33703,,Wave Life Sciences,$0.41 B,,Singapore,,,
177,32,75883,,Wave Life Sciences,$0.41 B,,Singapore,,,
178,32,97602,,Wave Life Sciences,,,Singapore,,,
179,32,100749,Health,WAVE Life Sciences,,,Singapore,,,
180,32,119705,,Wave Life Sciences Ltd.,$99.6 Million,,,,"Dr. Paul B.  Bolno M.B.A., M.D., MBA",
181,32,143625,,Wave Life Sciences,$0.52 B,WVE,Singapore,,,
182,32,149718,"['Pharmaceuticals', 'Biotech']",Wave Life Sciences,$0.34 B,WVE,Singapore,,,
183,32,159278,,Wave Life Sciences,$0.47 B,WVE,Singapore,,,
184,32,182357,,Wave Life Sciences,$0.47 B,,singapore,,,
185,33,13201,Banking,Alpha Bank,,,Greece,,Vassilios E. Psaltis,
186,33,13202,,Alpha Bank,$2.98 B,,Greece,,,
187,33,21321,"['Financial Services', 'Banking Services']",ALPHA BANK,,,Greece,,Not found,
188,33,35703,Financials,Alpha Bank,,,,1879,,
189,33,47302,"['Financial Services', 'Banking Services']",Alpha Bank,,,Greece,,,https://www.alpha.gr/
190,33,61368,,ALPHA BANK,,,Greece,,,
191,33,61369,,ALPHA BANK,3.213 Billion USD,,Greece,,,
192,33,88045,"['Financial Services', 'Banking Services']",ALPHA BANK,,,,,,
193,33,185438,Financials,Alpha Bank,,,Athens,1879,,
194,34,25630,"['Stock Markets, Trading, Capital Markets']",ALPHA FX GROUP,,,UK,,Not found,
195,34,68696,,ALPHA FX GROUP,,,UK,,,
196,34,68697,,ALPHA FX GROUP,1.039 Billion USD,,UK,,,
197,34,91234,"['Stock Markets, Trading, Capital Markets']",ALPHA FX GROUP,,,,,,
198,34,103450,Financial Services,Alpha FX Group,,,United Kingdom,,,
199,34,103922,Financial Services,Alpha FX Group,,,UK,,,
200,34,137608,Financial Services,Alpha FX Group,,,UK,2009,,
201,34,137609,Financial Services,Alpha FX Group,,,UK,2009,,
202,35,3704,Media,AMC Networks Inc,$739.3M,,United States of America,,,www.amcnetworks.com
203,35,23848,"['Communication Services', 'Media', 'Advertising', 'Consumer Services', 'Television Services', 'Broadcasting']",AMC NETWORKS,,,USA,,Not found,
204,35,33129,,AMC Networks,$0.73 B,,USA,,,
205,35,49507,"['Communication Services', 'Media', 'Advertising', 'Consumer Services', 'Television Services', 'Broadcasting']",Amc Networks,,,USA,,,http://www.amcnetworks.com/
206,35,65639,,AMC NETWORKS,,,USA,,,
207,35,65640,,AMC NETWORKS,2.007 Billion USD,,USA,,,
208,35,76355,,Amc Networks,$0.73 B,,USA,,,
209,35,89938,"['Communication Services', 'Media', 'Advertising']",AMC NETWORKS,,,,,,
210,35,97233,,AMC Networks,,,USA,,,
211,35,108399,,AMC NETWORKS INC.,,,UNITED STATES,,,https://www.info-clipper.com/en/company/united-states/amc-networks-inc.usd1gjhos.html
212,35,143195,,AMC Networks,$0.78 B,AMCX,USA,,,
213,35,150328,['MediaPress'],AMC Networks,$0.74 B,AMCX,USA,,,
214,35,158801,,AMC Networks,$0.75 B,AMCX,USA,,,
215,35,169352,,AMC Networks,$0.75 B,AMCX,,,,https://companiesmarketcap.com/amc-networks/marketcap/
216,35,180002,,AMC Networks,$0.76 B,,usa,,,
217,36,3610,Technology and Communications,Arista Networks Inc,$35.1B,,United States of America,,,www.arista.com/en
218,36,12388,Technology Hardware & Equipment,Arista Networks,,,United States,,Jayshree V. Ullal,
219,36,12389,,Arista Networks,$36.22 B,,United States,,,
220,36,15709,"['Technology', 'Network Hardware and Software', 'Networking Products / Solutions', 'Software and IT', 'Electronics', 'Computers Hardware', 'Software Products']",ARISTA NETWORKS,,,USA,,Andy Bechtolsheim,
221,36,28556,,Arista Networks,$35.37 B,,USA,,,
222,36,28557,,Arista Networks,$35.33 B,ANET,USA,,,
223,36,41026,,ARISTA NETWORKS,39.79 Billion USD,,USA,2004.0,Jayshree Ullal,
224,36,41027,,ARISTA NETWORKS,28.349 Billion USD,,USA,,Andy Bechtolsheim,
225,36,41028,"['Technology', 'Network Hardware and Software', 'Networking Products / Solutions']",ARISTA NETWORKS,,,,,Jayshree Ullal,
226,36,42782,"['Technology', 'Network Hardware and Software', 'Networking Products / Solutions', 'Software and IT', 'Electronics', 'Computers Hardware', 'Software Products']",Arista Networks,,,USA,,Jayshree Ullal,https://www.arista.com
227,36,72908,,Arista Networks,$41.49 B,,USA,,,
228,36,92766,,Arista Networks,,,USA,,,
229,36,138739,,Arista Networks,$40.25 B,ANET,USA,,,
230,36,153627,"['Tech', 'Electronics', 'Networkinghardware', 'TechHardware']",Arista Networks,$38.95 B,ANET,USA,,,
231,36,169039,,Arista Networks,$35.33 B,ANET,,,,https://companiesmarketcap.com/arista-networks/marketcap/
232,36,175296,,Arista Networks,$42.76 B,ANET,,,,https://companiesmarketcap.com/arista-networks/marketcap/
233,36,179421,,Arista Networks,$36.36 B,,usa,,,
234,36,190572,Technology Hardware & Equipment,Arista Networks,,,"Santa Clara, California",2004.0,,
235,37,1694,Technology and Communications,Extreme Networks Inc,$2.5B,,United States of America,,,www.extremenetworks.com
236,37,23521,"['Technology', 'Computers Hardware', 'Communications Equipment', 'Network Hardware and Software']",EXTREME NETWORKS,,,USA,,Not found,
237,37,31563,,Extreme Networks,$2.47 B,,USA,,,
238,37,49217,"['Technology', 'Computers Hardware', 'Communications Equipment', 'Network Hardware and Software']",Extreme Networks,,,USA,,,https://www.extremenetworks.com/
239,37,65062,,EXTREME NETWORKS,,,USA,,,
240,37,65063,,EXTREME NETWORKS,1.419 Billion USD,,USA,,,
241,37,77654,,Extreme Networks,$2.47 B,,USA,,,
242,37,89687,"['Technology', 'Computers Hardware', 'Communications Equipment']",EXTREME NETWORKS,,,,,,
243,37,95649,,Extreme Networks,,,USA,,,
244,37,141625,,Extreme Networks,$2.62 B,EXTR,USA,,,
245,37,151633,['Telecommunicationsequipment'],Extreme Networks,$2.56 B,EXTR,USA,,,
246,37,157266,,Extreme Networks,$2.51 B,EXTR,USA,,,
247,37,169105,,Extreme Networks,$2.51 B,EXTR,,,,https://companiesmarketcap.com/extreme-networks/marketcap/
248,37,175360,,Extreme Networks,$2.71 B,EXTR,,,,https://companiesmarketcap.com/extreme-networks/marketcap/
249,37,176774,,Extreme Networks,$2.61 B,,usa,,,
250,38,29714,,F5 Networks,$8.73 B,,USA,,,
251,38,93872,,F5 Networks,,,USA,,,
252,38,125278,,"F5 Networks, Inc.",$12.37 Billion,,,,Mr. Francois  Locoh-Donou,
253,38,139857,,F5 Networks,$9.18 B,FFIV,USA,,,
254,38,152791,"['Software', 'Tech', 'ITsecurity']",F5 Networks,$8.96 B,FFIV,USA,,,
255,38,155463,,F5 Networks,$8.84 B,FFIV,USA,,,
256,38,178241,,F5 Networks,$9.02 B,,usa,,,
257,39,4447,Technology and Communications,Juniper Networks Inc,$10.4B,,United States of America,,,www.juniper.net
258,39,17326,"['Technology', 'Software and IT', 'Network Hardware and Software', 'Electronics', 'Computers Hardware', 'Networking Products / Solutions', 'Software Products', 'Communications Equipment']",JUNIPER NETWORKS,,,USA,,Not found,
259,39,29562,,Juniper Networks,$10.21 B,,USA,,,
260,39,44045,"['Technology', 'Software and IT', 'Network Hardware and Software', 'Electronics', 'Computers Hardware', 'Networking Products / Solutions', 'Software Products', 'Communications Equipment']",Juniper Networks,,,USA,,,https://www.juniper.net/us/en/
261,39,55060,,JUNIPER NETWORKS,,,USA,,,
262,39,55061,,JUNIPER NETWORKS,9.423 Billion USD,,USA,,,
263,39,55062,"['Technology', 'Software and IT', 'Network Hardware and Software']",JUNIPER NETWORKS,,,,,,
264,39,93686,,Juniper Networks,,,USA,,,
265,39,129081,Hardware & Networking,Juniper Networks,,,,1996 (27 yrs old),,
266,39,139692,,Juniper Networks,$10.73 B,JNPR,USA,,,
267,39,147202,"['Networkinghardware', 'Telecommunicationsequipment', 'Tech', 'TechHardware']",Juniper Networks,$10.37 B,JNPR,USA,,,
268,39,155316,,Juniper Networks,$10.36 B,JNPR,USA,,,
269,39,174651,,Juniper Networks,$10.70 B,JNPR,,,,https://companiesmarketcap.com/juniper-networks/marketcap/
270,39,179281,,Juniper Networks,$10.68 B,,usa,,,
271,40,488,Medical Care Facilities,"HCA Healthcare, Inc.",$82.60 B,HCA,United States,1968, Mr. Samuel N. Hazen,
272,40,6586,Pharmaceuticals and Healthcare,HCA Healthcare Inc,$72.6B,,United States of America,,,hcahealthcare.com
273,40,8306,Medical Care Facilities,"HCA Healthcare, Inc.",,HCA,United States,,Mr. Samuel N. Hazen,
274,40,8616,,hca healthcare,,,united states,,,
275,40,9808,Health Care Equipment & Services,HCA Healthcare,,,United States,,Samuel N. Hazen,
276,40,9809,,HCA Healthcare,$63.62 B,,United States,,,
277,40,13948,,HCA Healthcare,,,,,,
278,40,14714,,HCA Healthcare,,,,,,
279,40,15307,"['Healthcare', 'Hospitals', 'HealthCare Products', 'Healthcare Service']",HCA HEALTHCARE,,,USA,,Thomas Frist III,
280,40,28237,,HCA Healthcare,$73.90 B,,USA,,,
281,40,40185,,HCA HEALTHCARE,78.44 Billion USD,,USA,1968.0,Samuel N. Hazen,
282,40,40186,,HCA HEALTHCARE,80.990 Billion USD,,USA,,Thomas Frist III,
283,40,40187,"['Healthcare', 'Hospitals', 'HealthCare Products']",HCA HEALTHCARE,,,,,Samuel N. Hazen,
284,40,42472,"['Healthcare', 'Hospitals', 'HealthCare Products', 'Healthcare Service']",Hca Healthcare,,,USA,,Samuel N. Hazen,https://hcahealthcare.com/
285,40,72706,,Hca Healthcare,$67.57 B,,USA,,,
286,40,92472,,HCA Healthcare,,,USA,,,
287,40,123337,,"HCA Healthcare, Inc.",$82.60 Billion,,,,Mr. Samuel N. Hazen,
288,40,138511,,HCA Healthcare,$69.18 B,HCA,USA,,,
289,40,145466,,"Hca Healthcare, Inc.",$82.60 Billion,,,,Mr. Samuel N. Hazen,
290,40,153801,['Healthcare'],HCA Healthcare,$67.31 B,HCA,USA,,,
291,40,154100,,HCA Healthcare,$73.18 B,HCA,USA,,,
292,40,165317,,"HCA Healthcare, Inc.",,,,,CEO: Mr. Samuel N. Hazen,
293,40,165318,Medical Care Facilities,"HCA Healthcare, Inc.",$82.60 B,HCA,United States,,,
294,40,165319,Medical Care Facilities,"HCA Healthcare, Inc.",,HCA,United States,,,
295,40,165320,healthcare,"HCA Healthcare, Inc.",,HCA,united states,,,
296,40,174067,,HCA Healthcare,$68.51 B,HCA,,,,https://companiesmarketcap.com/hca-healthcare/marketcap/
297,40,178923,,HCA Healthcare,$73.95 B,,usa,,,
298,40,189458,Health Care Equipment & Services,HCA Healthcare,,,"Nashville, Tennessee",1968.0,,
299,41,25554,"['Financial Services', 'Banking Services']",1ST SOURCE CORPORATION,,,USA,,Not found,
300,41,32603,,1st Source,$1.14 B,,USA,,,
301,41,68548,,1ST SOURCE CORPORATION,,,USA,,,
302,41,68549,,1ST SOURCE CORPORATION,1.175 Billion USD,,USA,,,
303,41,76797,,1st Source,$1.14 B,,USA,,,
304,41,91170,"['Financial Services', 'Banking Services']",1ST SOURCE CORPORATION,,,,,,
305,41,96517,,1st Source,,,USA,,,
306,41,142552,,1st Source,$1.33 B,SRCE,USA,,,
307,41,150893,"['Banks', 'Financialservices']",1st Source,$1.33 B,SRCE,USA,,,
308,41,158141,,1st Source,$1.32 B,SRCE,USA,,,
309,41,169577,,1st Source,$1.32 B,SRCE,,,,https://companiesmarketcap.com/1st-source/marketcap/
310,41,180575,,1st Source,$1.30 B,,usa,,,
311,42,2810,Power,OGK-2,$936.8M,,Russia,,,ogk2.ru
312,42,115505,,OGK-2 PJSC,₽44.21 Billion,,,,Not found,
313,43,52391,"['Energy', 'Oil and Gas']",Aegis Logistics,,,India,,,http://www.aegisindia.com/
314,43,71379,,AEGIS LOGISTICS,,,India,,,
315,43,71380,,AEGIS LOGISTICS,1.270 Billion USD,,India,,,
316,43,130408,Oil & Gas,Aegis Logistics,,,,1956 (67 yrs old),,
317,44,36735,Industrials,General Logistics Systems,,,,1999,,
318,44,161429,Services,General Logistics Systems Italy Spa,,,,,,
319,44,184607,Industrials,General Logistics Systems,,,Amsterdam,1999,,
320,45,33017,,Pacific Century Regional Developments,$0.81 B,,Singapore,,,
321,45,76451,,Pacific Century Regional Developments,$0.81 B,,Singapore,,,
322,45,97126,,Pacific Century Regional Developments,,,Singapore,,,
323,45,119582,,Pacific Century Regional Developments Ltd,S$1.15 Billion,,,,Not found,
324,45,143127,,Pacific Century Regional Developments,$0.82 B,P15.SI,Singapore,,,
325,45,150349,"['Investment', 'AssetManagement']",Pacific Century Regional Developments,$0.76 B,P15.SI,Singapore,,,
326,45,158714,,Pacific Century Regional Developments,$0.81 B,P15.SI,Singapore,,,
327,45,180057,,Pacific Century Regional Developments,$0.80 B,,singapore,,,
328,46,21628,"['Healthcare', 'Health Care Diagnostics', 'Biotechnology']",23ANDME HOLDING CO.,,,USA,,Not found,
329,46,32631,,23andMe,$1.11 B,,USA,,,
330,46,61803,,23ANDME HOLDING CO.,,,USA,,,
331,46,61804,,23ANDME HOLDING CO.,3.498 Billion USD,,USA,,,
332,46,76769,,23andme,$1.11 B,,USA,,,
333,46,88271,"['Healthcare', 'Health Care Diagnostics', 'Biotechnology']",23ANDME HOLDING CO.,,,,,,
334,46,96939,,23andMe,,,USA,,,
335,46,142570,,23andMe,$1.31 B,ME,USA,,,
