Id;industry;name;market_cap;stock;country;founded_year;ceo;web_page
190157;Retailing;E-mart;;;Seoul, South Korea;1993.0;;
13647;Retailing;Shanghai Yuyuan Tourist Mart;;;China;;Zhen Huang;
13648;;Shanghai Yuyuan Tourist Mart;$5.8 B;;China;;;
111802;;Shanghai Yuyuan Tourist Mart ;CN¥39.59 Billion;;;;Not found;
72218;;V-MART RETAIL;;;India;;nan;
72219;;V-MART RETAIL;0.922 Billion USD;;India;;nan;
126725;Retail;V-Mart;;;;2002 (21 yrs old);;
19585;['Communication Services', 'Telecom', 'Internet Providers'];1&1 AG;;;Germany;;Not found;
31588;;1&1;$2.43 B;;Germany;;;
58458;;1&1 AG;;;Germany;;nan;
58459;;1&1 AG;5.510 Billion USD;;Germany;;nan;
77645;;1&1;$2.43 B;;Germany;;;
86710;['Communication Services', 'Telecom', 'Internet Providers'];1&1 AG;;;;;nan;
95794;;1&1;;;Germany;;;
115538;;1&1 AG;€3.59 Billion;;;;Mr. Ralph  Dommermuth;
141860;;1&1;$2.24 B;1U1.DE;Germany;;;
147893;['Telecommunication', 'Internet'];1&1;$2.32 B;1U1.DE;Germany;;;
157377;;1&1;$2.35 B;1U1.DE;Germany;;;
171769;;1&1;$2.37 B;1U1.DE;;;;https://companiesmarketcap.com/1-1-drillisch/marketcap/
181157;;1&1;$2.41 B;;germany;;;
13714;Retailing;Group 1 Automotive;;;United States;;Earl Julius Hesterberg;
13715;;Group 1 Automotive;$2.86 B;;United States;;;
20790;['Consumer Cyclical', 'Automobile', 'Automobile Parts', 'Consumer Durables', 'Automobile Dealers'];GROUP 1 AUTOMOTIVE;;;USA;;Not found;
31333;;Group 1 Automotive;$2.87 B;;USA;;;
46855;['Consumer Cyclical', 'Automobile', 'Automobile Parts', 'Consumer Durables', 'Automobile Dealers'];Group 1 Automotive;;;USA;;nan;https://www.group1auto.com
60494;;GROUP 1 AUTOMOTIVE;;;USA;;nan;
60495;;GROUP 1 AUTOMOTIVE;2.990 Billion USD;;USA;;nan;
77850;;Group 1 Automotive;$2.87 B;;USA;;;
87642;['Consumer Cyclical', 'Automobile', 'Automobile Parts'];GROUP 1 AUTOMOTIVE;;;;;nan;
95522;;Group 1 Automotive;;;USA;;;
141551;;Group 1 Automotive;$2.77 B;GPI;USA;;;
151710;[];Group 1 Automotive;$2.75 B;GPI;USA;;;
157107;;Group 1 Automotive;$2.80 B;GPI;USA;;;
174549;;Group 1 Automotive;$2.84 B;GPI;;;;https://companiesmarketcap.com/group-1-automotive/marketcap/
176506;;Group 1 Automotive;$2.83 B;;usa;;;
31654;;ProSiebenSat.1 Media;$2.32 B;;Germany;;;
35593;Consumer services;ProSiebenSat.1;;;;2000;;
77579;;Prosiebensat.1 Media;$2.32 B;;Germany;;;
95874;;ProSiebenSat.1 Media;;;Germany;;;
142099;;ProSiebenSat.1 Media;$1.85 B;PSM.F;Germany;;;
151300;['MediaPress', 'Entertainment'];ProSiebenSat.1 Media;$1.91 B;PSM.F;Germany;;;
157441;;ProSiebenSat.1 Media;$2.24 B;PSM.F;Germany;;;
171738;;ProSiebenSat.1 Media;$2.28 B;PSM.F;;;;https://companiesmarketcap.com/prosiebensat1-media/marketcap/
181121;;ProSiebenSat.1 Media;$2.34 B;;germany;;;
2911;Technology and Communications;S-1 Corp;$1.8B;;South Korea;;;www.s1.co.kr
23026;['Industries', 'Security Systems and Solutions'];S-1 CORPORATION;;;South Korea;;Not found;
64192;;S-1 CORPORATION;;;South Korea;;nan;
64193;;S-1 CORPORATION;2.373 Billion USD;;South Korea;;nan;
89305;['Industries', 'Security Systems and Solutions'];S-1 CORPORATION;;;;;nan;
3085;Retailing;1-800-Flowers.com Inc;$600.4M;;United States of America;;;www.1800flowers.com
24289;['Consumer Cyclical', 'Retail'];1-800-FLOWERS.COM;;;USA;;Not found;
66371;;1-800-FLOWERS.COM;;;USA;;nan;
66372;;1-800-FLOWERS.COM;2.067 Billion USD;;USA;;nan;
90238;['Consumer Cyclical', 'Retail'];1-800-FLOWERS.COM;;;;;nan;
16316;['Technology', 'Gaming', 'Software and IT', 'Video Games / Mobile Games / Tech Games / Casino Games', 'Software Products'];EPIC Games;;;USA;;Not found;
37530;Other;Epic Games;;;United States;;;
42167;;EPIC Games;nan;;USA;nan;nan;
42168;;EPIC Games;934;;USA;;nan;
42169;['Technology', 'Gaming', 'Software and IT'];EPIC Games;;;;;nan;
43229;['Technology', 'Gaming', 'Software and IT', 'Video Games / Mobile Games / Tech Games / Casino Games', 'Software Products'];Epic Games;;;USA;;nan;https://www.epicgames.com/
100622;Other;Epic Games;;;United States;1991;;
108246;;EPIC GAMES, INC.;;nan;UNITED STATES;;;https://www.info-clipper.com/en/company/united-states/epic-games-inc.usddamc3s.html
110239;;EPIC GAMES, INC.;;nan;UNITED STATES;;;https://www.info-clipper.com/en/company/united-states/epic-games-inc.usddamc3s.html
36694;Telecommunications;Epic;;;;1989;;
81213;;EPIC MUSHROOM LTD;;;;;;
184698;Telecommunications;Epic;;;Luqa;1989;;
16911;['Healthcare', 'Medical Equipment', 'Healthcare Technology and Information'];10X GENOMICS;;;USA;;John R. Stuelpnagel, D.V.M;
30368;;10x Genomics;$5.41 B;;USA;;;
43717;['Healthcare', 'Medical Equipment', 'Healthcare Technology and Information'];10x Genomics;;;USA;;Serge Saxonov;https://www.10xgenomics.com/
54167;;10X GENOMICS;;;USA;;Serge Saxonov;
54168;;10X GENOMICS;19.507 Billion USD;;USA;;John R. Stuelpnagel, D.V.M;
54169;['Healthcare', 'Medical Equipment', 'Healthcare Technology and Information'];10X GENOMICS;;;;;Serge Saxonov;
73720;;10x Genomics;$5.41 B;;USA;;;
94814;;10x Genomics;;;USA;;;
140982;;10x Genomics;$4.00 B;TXG;USA;;;
147637;['Genomics', 'Biotech'];10x Genomics;$3.92 B;TXG;USA;;;
156245;;10x Genomics;$4.94 B;TXG;USA;;;
169532;;10x Genomics;$4.94 B;TXG;;;;https://companiesmarketcap.com/10x-genomics/marketcap/
177574;;10x Genomics;$5.16 B;;usa;;;
1565;Medical Equipment;BGI Genomics Co Ltd;$3.3B;;China;;;www.bgi.com
111601;;BGI Genomics Co. Ltd;CN¥32.74 Billion;;;;Not found;
33951;;11 bit studios;$0.31 B;;Poland;;;
36810;Technology;11 bit studios;;;;2010;;
75668;;11 Bit Studios;$0.31 B;;Poland;;;
98010;;11 bit studios;;;Poland;;;
104054;Games industry;11 bit studios;;;Poland;;;
115667;;11 bit studios SA;€287.2 Million;;;;Not found;
144096;;11 bit studios;$0.29 B;11B.WA;Poland;;;
149616;['Videogames', 'Entertainment', 'Tech'];11 bit studios;$0.28 B;11B.WA;Poland;;;
159621;;11 bit studios;$0.31 B;11B.WA;Poland;;;
182563;;11 bit studios;$0.31 B;;poland;;;
184483;Technology;11 bit studios;;;Warsaw;2010;;
26094;['Healthcare', 'Biotechnology', 'Biopharmaceutical'];ANAVEX LIFE SCIENCES;;;USA;;Not found;
33025;;Anavex Life Sciences;$0.80 B;;USA;;;
51458;['Healthcare', 'Biotechnology', 'Biopharmaceutical'];Anavex Life Sciences;;;USA;;nan;https://www.anavex.com/
69511;;ANAVEX LIFE SCIENCES;;;USA;;nan;
69512;;ANAVEX LIFE SCIENCES;1.476 Billion USD;;USA;;nan;
76443;;Anavex Life Sciences;$0.80 B;;USA;;;
91588;['Healthcare', 'Biotechnology', 'Biopharmaceutical'];ANAVEX LIFE SCIENCES;;;;;nan;
97160;;Anavex Life Sciences;;;USA;;;
143335;;Anavex Life Sciences;$0.68 B;AVXL;USA;;;
150201;['Pharmaceuticals', 'Biotech', 'Genomics'];Anavex Life Sciences;$0.66 B;AVXL;USA;;;
158730;;Anavex Life Sciences;$0.82 B;AVXL;USA;;;
170994;;Anavex Life Sciences;$0.82 B;AVXL;;;;https://companiesmarketcap.com/anavex-life-sciences/marketcap/
179994;;Anavex Life Sciences;$0.83 B;;usa;;;
26874;['Healthcare', 'Biotechnology', 'Biopharmaceutical'];ATAI LIFE SCIENCES N.V.;;;Germany;;Not found;
33944;;Atai Life Sciences;$0.31 B;;Germany;;;
70867;;ATAI LIFE SCIENCES N.V.;;;Germany;;nan;
70868;;ATAI LIFE SCIENCES N.V.;2.536 Billion USD;;Germany;;nan;
75675;;Atai Life Sciences;$0.31 B;;Germany;;;
92168;['Healthcare', 'Biotechnology', 'Biopharmaceutical'];ATAI LIFE SCIENCES N.V.;;;;;nan;
98064;;Atai Life Sciences;;;Germany;;;
143643;;Atai Life Sciences;$0.51 B;ATAI;Germany;;;
150027;['Pharmaceuticals', 'Biotech'];Atai Life Sciences;$0.52 B;ATAI;Germany;;;
159669;;Atai Life Sciences;$0.29 B;ATAI;Germany;;;
171820;;Atai Life Sciences;$0.29 B;ATAI;;;;https://companiesmarketcap.com/atai-life-sciences/marketcap/
182735;;Atai Life Sciences;$0.33 B;;germany;;;
33703;;Wave Life Sciences;$0.41 B;;Singapore;;;
75883;;Wave Life Sciences;$0.41 B;;Singapore;;;
97602;;Wave Life Sciences;;;Singapore;;;
100749;Health;WAVE Life Sciences;;;Singapore;;;
119705;;Wave Life Sciences Ltd.;$99.6 Million;;;;Dr. Paul B.  Bolno M.B.A., M.D., MBA;
143625;;Wave Life Sciences;$0.52 B;WVE;Singapore;;;
149718;['Pharmaceuticals', 'Biotech'];Wave Life Sciences;$0.34 B;WVE;Singapore;;;
159278;;Wave Life Sciences;$0.47 B;WVE;Singapore;;;
182357;;Wave Life Sciences;$0.47 B;;singapore;;;
13201;Banking;Alpha Bank;;;Greece;;Vassilios E. Psaltis;
13202;;Alpha Bank;$2.98 B;;Greece;;;
21321;['Financial Services', 'Banking Services'];ALPHA BANK;;;Greece;;Not found;
35703;Financials;Alpha Bank;;;;1879;;
47302;['Financial Services', 'Banking Services'];Alpha Bank;;;Greece;;nan;https://www.alpha.gr/
61368;;ALPHA BANK;;;Greece;;nan;
61369;;ALPHA BANK;3.213 Billion USD;;Greece;;nan;
88045;['Financial Services', 'Banking Services'];ALPHA BANK;;;;;nan;
185438;Financials;Alpha Bank;;;Athens;1879;;
25630;['Stock Markets, Trading, Capital Markets'];ALPHA FX GROUP;;;UK;;Not found;
68696;;ALPHA FX GROUP;;;UK;;nan;
68697;;ALPHA FX GROUP;1.039 Billion USD;;UK;;nan;
91234;['Stock Markets, Trading, Capital Markets'];ALPHA FX GROUP;;;;;nan;
103450;Financial Services;Alpha FX Group;;;United Kingdom;;;
103922;Financial Services;Alpha FX Group;;;UK;;;
137608;Financial Services;Alpha FX Group;;;UK;2009;;
137609;Financial Services;Alpha FX Group;;;UK;2009;;
3704;Media;AMC Networks Inc;$739.3M;;United States of America;;;www.amcnetworks.com
23848;['Communication Services', 'Media', 'Advertising', 'Consumer Services', 'Television Services', 'Broadcasting'];AMC NETWORKS;;;USA;;Not found;
33129;;AMC Networks;$0.73 B;;USA;;;
49507;['Communication Services', 'Media', 'Advertising', 'Consumer Services', 'Television Services', 'Broadcasting'];Amc Networks;;;USA;;nan;http://www.amcnetworks.com/
65639;;AMC NETWORKS;;;USA;;nan;
65640;;AMC NETWORKS;2.007 Billion USD;;USA;;nan;
76355;;Amc Networks;$0.73 B;;USA;;;
89938;['Communication Services', 'Media', 'Advertising'];AMC NETWORKS;;;;;nan;
97233;;AMC Networks;;;USA;;;
108399;;AMC NETWORKS INC.;;nan;UNITED STATES;;;https://www.info-clipper.com/en/company/united-states/amc-networks-inc.usd1gjhos.html
143195;;AMC Networks;$0.78 B;AMCX;USA;;;
150328;['MediaPress'];AMC Networks;$0.74 B;AMCX;USA;;;
158801;;AMC Networks;$0.75 B;AMCX;USA;;;
169352;;AMC Networks;$0.75 B;AMCX;;;;https://companiesmarketcap.com/amc-networks/marketcap/
180002;;AMC Networks;$0.76 B;;usa;;;
3610;Technology and Communications;Arista Networks Inc;$35.1B;;United States of America;;;www.arista.com/en
12388;Technology Hardware & Equipment;Arista Networks;;;United States;;Jayshree V. Ullal;
12389;;Arista Networks;$36.22 B;;United States;;;
15709;['Technology', 'Network Hardware and Software', 'Networking Products / Solutions', 'Software and IT', 'Electronics', 'Computers Hardware', 'Software Products'];ARISTA NETWORKS;;;USA;;Andy Bechtolsheim;
28556;;Arista Networks;$35.37 B;;USA;;;
28557;;Arista Networks;$35.33 B;ANET;USA;;;
41026;;ARISTA NETWORKS;39.79 Billion USD;;USA;2004.0;Jayshree Ullal;
41027;;ARISTA NETWORKS;28.349 Billion USD;;USA;;Andy Bechtolsheim;
41028;['Technology', 'Network Hardware and Software', 'Networking Products / Solutions'];ARISTA NETWORKS;;;;;Jayshree Ullal;
42782;['Technology', 'Network Hardware and Software', 'Networking Products / Solutions', 'Software and IT', 'Electronics', 'Computers Hardware', 'Software Products'];Arista Networks;;;USA;;Jayshree Ullal;https://www.arista.com
72908;;Arista Networks;$41.49 B;;USA;;;
92766;;Arista Networks;;;USA;;;
138739;;Arista Networks;$40.25 B;ANET;USA;;;
153627;['Tech', 'Electronics', 'Networkinghardware', 'TechHardware'];Arista Networks;$38.95 B;ANET;USA;;;
169039;;Arista Networks;$35.33 B;ANET;;;;https://companiesmarketcap.com/arista-networks/marketcap/
175296;;Arista Networks;$42.76 B;ANET;;;;https://companiesmarketcap.com/arista-networks/marketcap/
179421;;Arista Networks;$36.36 B;;usa;;;
190572;Technology Hardware & Equipment;Arista Networks;;;Santa Clara, California;2004.0;;
1694;Technology and Communications;Extreme Networks Inc;$2.5B;;United States of America;;;www.extremenetworks.com
23521;['Technology', 'Computers Hardware', 'Communications Equipment', 'Network Hardware and Software'];EXTREME NETWORKS;;;USA;;Not found;
31563;;Extreme Networks;$2.47 B;;USA;;;
49217;['Technology', 'Computers Hardware', 'Communications Equipment', 'Network Hardware and Software'];Extreme Networks;;;USA;;nan;https://www.extremenetworks.com/
65062;;EXTREME NETWORKS;;;USA;;nan;
65063;;EXTREME NETWORKS;1.419 Billion USD;;USA;;nan;
77654;;Extreme Networks;$2.47 B;;USA;;;
89687;['Technology', 'Computers Hardware', 'Communications Equipment'];EXTREME NETWORKS;;;;;nan;
95649;;Extreme Networks;;;USA;;;
141625;;Extreme Networks;$2.62 B;EXTR;USA;;;
151633;['Telecommunicationsequipment'];Extreme Networks;$2.56 B;EXTR;USA;;;
157266;;Extreme Networks;$2.51 B;EXTR;USA;;;
169105;;Extreme Networks;$2.51 B;EXTR;;;;https://companiesmarketcap.com/extreme-networks/marketcap/
175360;;Extreme Networks;$2.71 B;EXTR;;;;https://companiesmarketcap.com/extreme-networks/marketcap/
176774;;Extreme Networks;$2.61 B;;usa;;;
29714;;F5 Networks;$8.73 B;;USA;;;
93872;;F5 Networks;;;USA;;;
125278;;F5 Networks, Inc.;$12.37 Billion;;;;Mr. Francois  Locoh-Donou;
139857;;F5 Networks;$9.18 B;FFIV;USA;;;
152791;['Software', 'Tech', 'ITsecurity'];F5 Networks;$8.96 B;FFIV;USA;;;
155463;;F5 Networks;$8.84 B;FFIV;USA;;;
178241;;F5 Networks;$9.02 B;;usa;;;
4447;Technology and Communications;Juniper Networks Inc;$10.4B;;United States of America;;;www.juniper.net
17326;['Technology', 'Software and IT', 'Network Hardware and Software', 'Electronics', 'Computers Hardware', 'Networking Products / Solutions', 'Software Products', 'Communications Equipment'];JUNIPER NETWORKS;;;USA;;Not found;
29562;;Juniper Networks;$10.21 B;;USA;;;
44045;['Technology', 'Software and IT', 'Network Hardware and Software', 'Electronics', 'Computers Hardware', 'Networking Products / Solutions', 'Software Products', 'Communications Equipment'];Juniper Networks;;;USA;;nan;https://www.juniper.net/us/en/
55060;;JUNIPER NETWORKS;;;USA;;nan;
55061;;JUNIPER NETWORKS;9.423 Billion USD;;USA;;nan;
55062;['Technology', 'Software and IT', 'Network Hardware and Software'];JUNIPER NETWORKS;;;;;nan;
93686;;Juniper Networks;;;USA;;;
129081;Hardware & Networking;Juniper Networks;;;;1996 (27 yrs old);;
139692;;Juniper Networks;$10.73 B;JNPR;USA;;;
147202;['Networkinghardware', 'Telecommunicationsequipment', 'Tech', 'TechHardware'];Juniper Networks;$10.37 B;JNPR;USA;;;
155316;;Juniper Networks;$10.36 B;JNPR;USA;;;
174651;;Juniper Networks;$10.70 B;JNPR;;;;https://companiesmarketcap.com/juniper-networks/marketcap/
179281;;Juniper Networks;$10.68 B;;usa;;;
488;Medical Care Facilities;HCA Healthcare, Inc.;$82.60 B;HCA;United States;1968; Mr. Samuel N. Hazen;
6586;Pharmaceuticals and Healthcare;HCA Healthcare Inc;$72.6B;;United States of America;;;hcahealthcare.com
8306;Medical Care Facilities;HCA Healthcare, Inc.;;HCA;United States;;Mr. Samuel N. Hazen;
8616;;hca healthcare;;;united states;;;
9808;Health Care Equipment & Services;HCA Healthcare;;;United States;;Samuel N. Hazen;
9809;;HCA Healthcare;$63.62 B;;United States;;;
13948;;HCA Healthcare;;;;;;
14714;;HCA Healthcare;;;;;;
15307;['Healthcare', 'Hospitals', 'HealthCare Products', 'Healthcare Service'];HCA HEALTHCARE;;;USA;;Thomas Frist III;
28237;;HCA Healthcare;$73.90 B;;USA;;;
40185;;HCA HEALTHCARE;78.44 Billion USD;;USA;1968.0;Samuel N. Hazen;
40186;;HCA HEALTHCARE;80.990 Billion USD;;USA;;Thomas Frist III;
40187;['Healthcare', 'Hospitals', 'HealthCare Products'];HCA HEALTHCARE;;;;;Samuel N. Hazen;
42472;['Healthcare', 'Hospitals', 'HealthCare Products', 'Healthcare Service'];Hca Healthcare;;;USA;;Samuel N. Hazen;https://hcahealthcare.com/
72706;;Hca Healthcare;$67.57 B;;USA;;;
92472;;HCA Healthcare;;;USA;;;
123337;;HCA Healthcare, Inc.;$82.60 Billion;;;;Mr. Samuel N. Hazen;
138511;;HCA Healthcare;$69.18 B;HCA;USA;;;
145466;;Hca Healthcare, Inc.;$82.60 Billion;;;;Mr. Samuel N. Hazen;
153801;['Healthcare'];HCA Healthcare;$67.31 B;HCA;USA;;;
154100;;HCA Healthcare;$73.18 B;HCA;USA;;;
165317;;HCA Healthcare, Inc.;;;;;CEO: Mr. Samuel N. Hazen;
165318;Medical Care Facilities;HCA Healthcare, Inc.;$82.60 B;HCA;United States;;;
165319;Medical Care Facilities;HCA Healthcare, Inc.;;HCA;United States;;;
165320;healthcare;HCA Healthcare, Inc.;;HCA;united states;;;
174067;;HCA Healthcare;$68.51 B;HCA;;;;https://companiesmarketcap.com/hca-healthcare/marketcap/
178923;;HCA Healthcare;$73.95 B;;usa;;;
189458;Health Care Equipment & Services;HCA Healthcare;;;Nashville, Tennessee;1968.0;;
25554;['Financial Services', 'Banking Services'];1ST SOURCE CORPORATION;;;USA;;Not found;
32603;;1st Source;$1.14 B;;USA;;;
68548;;1ST SOURCE CORPORATION;;;USA;;nan;
68549;;1ST SOURCE CORPORATION;1.175 Billion USD;;USA;;nan;
76797;;1st Source;$1.14 B;;USA;;;
91170;['Financial Services', 'Banking Services'];1ST SOURCE CORPORATION;;;;;nan;
96517;;1st Source;;;USA;;;
142552;;1st Source;$1.33 B;SRCE;USA;;;
150893;['Banks', 'Financialservices'];1st Source;$1.33 B;SRCE;USA;;;
158141;;1st Source;$1.32 B;SRCE;USA;;;
169577;;1st Source;$1.32 B;SRCE;;;;https://companiesmarketcap.com/1st-source/marketcap/
180575;;1st Source;$1.30 B;;usa;;;
2810;Power;OGK-2;$936.8M;;Russia;;;ogk2.ru
115505;;OGK-2 PJSC;₽44.21 Billion;;;;Not found;
52391;['Energy', 'Oil and Gas'];Aegis Logistics;;;India;;nan;http://www.aegisindia.com/
71379;;AEGIS LOGISTICS;;;India;;nan;
71380;;AEGIS LOGISTICS;1.270 Billion USD;;India;;nan;
130408;Oil & Gas;Aegis Logistics;;;;1956 (67 yrs old);;
36735;Industrials;General Logistics Systems;;;;1999;;
161429;Services;General Logistics Systems Italy Spa;;;;;;
184607;Industrials;General Logistics Systems;;;Amsterdam;1999;;
33017;;Pacific Century Regional Developments;$0.81 B;;Singapore;;;
76451;;Pacific Century Regional Developments;$0.81 B;;Singapore;;;
97126;;Pacific Century Regional Developments;;;Singapore;;;
119582;;Pacific Century Regional Developments Ltd;S$1.15 Billion;;;;Not found;
143127;;Pacific Century Regional Developments;$0.82 B;P15.SI;Singapore;;;
150349;['Investment', 'AssetManagement'];Pacific Century Regional Developments;$0.76 B;P15.SI;Singapore;;;
158714;;Pacific Century Regional Developments;$0.81 B;P15.SI;Singapore;;;
180057;;Pacific Century Regional Developments;$0.80 B;;singapore;;;
21628;['Healthcare', 'Health Care Diagnostics', 'Biotechnology'];23ANDME HOLDING CO.;;;USA;;Not found;
32631;;23andMe;$1.11 B;;USA;;;
61803;;23ANDME HOLDING CO.;;;USA;;nan;
61804;;23ANDME HOLDING CO.;3.498 Billion USD;;USA;;nan;
76769;;23andme;$1.11 B;;USA;;;
88271;['Healthcare', 'Health Care Diagnostics', 'Biotechnology'];23ANDME HOLDING CO.;;;;;nan;
96939;;23andMe;;;USA;;;
142570;;23andMe;$1.31 B;ME;USA;;;
148008;['Biotech', 'Software', 'Tech'];23andMe;$1.37 B;ME;USA;;;
158357;;23andMe;$1.10 B;ME;USA;;;
171213;;23andMe;$1.10 B;ME;;;;https://companiesmarketcap.com/23-and-me/marketcap/
180628;;23andMe;$1.17 B;;usa;;;
6792;Smartphones;2U (company);;;;"2008; 14 years ago (2008)";;
24788;['Consumer Defensive', 'Software and IT', 'Technology', 'Software Products', 'Education'];2U;;;USA;;Not found;
33485;;2U;$0.52 B;;USA;;;
50319;['Consumer Defensive', 'Software and IT', 'Technology', 'Software Products', 'Education'];2u;;;USA;;nan;https://2u.com/
67249;;2U;;;USA;;nan;
67250;;2U;2.763 Billion USD;;USA;;nan;
74217;;2u;$0.52 B;;USA;;;
90614;['Consumer Defensive', 'Software and IT', 'Technology'];2U;;;;;nan;
97600;;2U;;;USA;;;
143466;;2U;$0.61 B;TWOU;USA;;;
150034;['Education', 'Tech'];2U;$0.54 B;TWOU;USA;;;
159100;;2U;$0.58 B;TWOU;USA;;;
175129;;2U;$0.66 B;TWOU;;;;https://companiesmarketcap.com/2u/marketcap/
183452;;2U;$0.59 B;;usa;;;
108761;;ADLER PLASTIC SPA;;nan;ITALY;;;https://www.info-clipper.com/en/company/italy/adler-plastic-spa.itd73hcho.html
161293;Manufacturing;Adler Plastic Spa;;;;;;
107754;;BONFIGLIOLI RIDUTTORI SPA;;nan;ITALY;;;https://www.info-clipper.com/en/company/italy/bonfiglioli-riduttori-spa.itd8zz7v3.html
161591;Manufacturing;Bonfiglioli Riduttori Spa;;;;;;
108125;;BTICINO SPA;;nan;ITALY;;;https://www.info-clipper.com/en/company/italy/bticino-spa.itd7ckrag.html
161416;Manufacturing;Bticino Spa;;;;;;
108278;;COGNE ACCIAI SPECIALI SPA;;nan;ITALY;;;https://www.info-clipper.com/en/company/italy/cogne-acciai-speciali-spa.itd7cbn2f.html
161576;Manufacturing;Cogne Acciai Speciali Spa;;;;;;
107257;;DOLOMITI ENERGIA TRADING SPA;;nan;ITALY;;;https://www.info-clipper.com/en/company/italy/dolomiti-energia-trading-spa.itdau93s9.html
110136;;DOLOMITI ENERGIA TRADING SPA;;nan;ITALY;;;https://www.info-clipper.com/en/company/italy/dolomiti-energia-trading-spa.itdau93s9.html
161205;Transportation, Communications, Electric, Gas, and Sanitary Services;Dolomiti Energia Trading Spa;;;;;;
108092;;FATER SPA;;ACE;ITALY;;;https://www.info-clipper.com/en/company/italy/fater-spa.itd75l735.html
161276;Manufacturing;Fater Spa;;;;;;
107292;;FERCAM SPA;;nan;ITALY;;;https://www.info-clipper.com/en/company/italy/fercam-spa.itd739tzb.html
